ticket_id,customer_id,category,priority,status,created_date,resolved_date,resolution_days,satisfaction_score,subject
TKT00030,CUST0061,Billing,Low,Open,2024-10-28,,,,Goal wrong they although style reach knowledge.
TKT00031,CUST0190,Bug,Medium,Open,2024-08-03,,,,Front western suffer.
TKT00032,CUST0200,Onboarding,Medium,Resolved,2024-07-04,2024-07-21,17.0,5.0,Performance pay herself though start edge.
TKT00033,CUST0012,Integration,Critical,In Progress,2024-12-03,,,,Democrat wear improve tree direction.
TKT00034,CUST0016,Bug,Medium,Resolved,2024-09-02,2024-09-15,13.0,4.0,Hard both walk use or.
TKT00035,CUST0019,Bug,Low,Resolved,2024-02-11,2024-02-22,11.0,5.0,Your appear serious create.
TKT00036,CUST0163,Onboarding,Critical,Resolved,2024-10-26,2024-11-13,18.0,5.0,Skin seven program seek east seven.
TKT00037,CUST0076,Bug,High,Resolved,2024-08-20,2024-09-06,17.0,1.0,Enter budget case determine avoid production.
TKT00038,CUST0168,Feature Request,Medium,Resolved,2024-11-29,2024-12-17,18.0,2.0,Appear wear opportunity land read several.
TKT00039,CUST0106,Integration,Low,Resolved,2024-06-22,2024-07-07,15.0,4.0,Space require street report shake.
TKT00040,CUST0081,Feature Request,Medium,Resolved,2024-12-06,2024-12-15,9.0,4.0,Mrs impact democratic.
TKT00041,CUST0018,Bug,High,Open,2024-02-16,,,,Economic school away food choice surface environmental.
TKT00042,CUST0096,Performance,Medium,Open,2024-03-07,,,,Best current win though him what.
TKT00043,CUST0172,Integration,Critical,Resolved,2024-03-03,2024-03-17,14.0,4.0,Company job prove professional whether.
TKT00044,CUST0185,Billing,Low,Resolved,2024-01-27,2024-02-06,10.0,5.0,Indicate stop thank culture away.
TKT00045,CUST0055,Bug,Medium,In Progress,2024-03-20,,,,Finally worker force.
TKT00046,CUST0143,Performance,Low,Closed,2024-07-07,2024-07-11,4.0,4.0,Room off hundred authority heavy floor.
TKT00047,CUST0144,Performance,Low,Resolved,2024-11-14,2024-12-04,20.0,3.0,Pressure past instead impact soldier authority Democrat particularly.
TKT00048,CUST0008,Billing,Critical,Resolved,2024-04-02,2024-04-11,9.0,3.0,Parent couple consider.
TKT00049,CUST0002,Onboarding,Low,Resolved,2024-04-02,2024-04-07,5.0,1.0,Sing there Republican beyond address.
TKT00050,CUST0024,Onboarding,Medium,Resolved,2024-09-28,2024-10-05,7.0,3.0,Natural street eight say second.
TKT00051,CUST0080,Bug,Low,Resolved,2024-06-15,2024-07-04,19.0,5.0,Control think step bad kind low.
TKT00052,CUST0013,Integration,Medium,In Progress,2024-12-11,,,,Right current officer eye pick.
TKT00053,CUST0156,Performance,Low,In Progress,2024-08-14,,,,Professional among safe once buy physical car.
TKT00054,CUST0111,Performance,Medium,Resolved,2024-02-26,2024-03-07,10.0,3.0,Apply family institution without.
TKT00055,CUST0012,Bug,Low,Closed,2024-04-22,2024-05-05,13.0,3.0,Stock fly recent become someone decade red safe.
TKT00056,CUST0055,Bug,Low,In Progress,2024-03-11,,,,National much interesting certainly only room.
TKT00057,CUST0192,Performance,High,Open,2024-08-08,,,,Military candidate each heart seven inside.
TKT00058,CUST0129,Integration,Low,Open,2024-10-13,,,,Whatever activity model along can.
TKT00059,CUST0005,Performance,Medium,Closed,2024-08-23,2024-08-26,3.0,4.0,Business or available sure oil firm.
TKT00060,CUST0182,Onboarding,Low,In Progress,2024-11-23,,,,Chair happy tend base area debate.
TKT00061,CUST0084,Integration,Critical,Resolved,2024-03-28,2024-04-17,20.0,1.0,Should able federal black first easy morning.
TKT00062,CUST0112,Onboarding,Medium,Resolved,2024-02-24,2024-03-03,8.0,4.0,Message end popular raise high head.
TKT00063,CUST0080,Feature Request,Low,In Progress,2024-06-22,,,,Dog structure able candidate partner high tough.
TKT00064,CUST0163,Billing,Medium,Resolved,2024-02-28,2024-03-16,17.0,2.0,Cause finish purpose morning future.
TKT00065,CUST0061,Feature Request,Medium,In Progress,2024-02-22,,,,Company court several data near difference.
TKT00066,CUST0195,Integration,Medium,In Progress,2024-12-01,,,,Under be third child maybe.
TKT00067,CUST0194,Performance,Medium,Resolved,2024-10-15,2024-11-03,19.0,5.0,Common force recent own who green.
TKT00068,CUST0083,Bug,Medium,In Progress,2024-11-17,,,,Especially apply Republican agency final news.
TKT00069,CUST0162,Billing,Medium,Resolved,2024-06-04,2024-06-13,9.0,3.0,Research argue place none any large stock partner.
TKT00070,CUST0119,Billing,Low,Open,2024-08-19,,,,Age own part moment.
TKT00071,CUST0024,Onboarding,Medium,Resolved,2024-11-10,2024-11-30,20.0,1.0,Beat gas many western.
TKT00072,CUST0116,Onboarding,Medium,In Progress,2024-10-19,,,,Require mind stage hospital positive place bring.
TKT00073,CUST0016,Billing,Critical,Closed,2024-08-18,2024-08-22,4.0,1.0,Term not third food crime thought.
TKT00074,CUST0130,Integration,Medium,Open,2024-11-26,,,,Drive leave character parent.
TKT00075,CUST0113,Billing,Medium,Resolved,2024-09-25,2024-10-12,17.0,3.0,Above time success family prepare.
TKT00076,CUST0100,Bug,High,Resolved,2024-07-28,2024-08-08,11.0,3.0,Discussion so trial this behind candidate hear.
TKT00077,CUST0017,Onboarding,Low,Resolved,2024-06-17,2024-06-21,4.0,5.0,White certainly appear culture soon respond anything.
TKT00078,CUST0039,Feature Request,Critical,Resolved,2024-06-19,2024-06-22,3.0,3.0,State budget finish tree itself.
TKT00079,CUST0168,Integration,Critical,Open,2024-12-23,,,,Affect possible available tonight relationship.
TKT00080,CUST0080,Billing,High,Resolved,2024-10-13,2024-10-26,13.0,5.0,Fund Mrs lose fill home herself agent.
TKT00081,CUST0024,Bug,Medium,Resolved,2024-11-26,2024-12-10,14.0,2.0,Listen nature present present.
TKT00082,CUST0055,Feature Request,Low,In Progress,2024-06-23,,,,Letter how television reflect trade thus.
TKT00083,CUST0076,Integration,High,Closed,2024-02-21,2024-03-09,17.0,1.0,Represent peace else over feeling politics.
TKT00084,CUST0170,Onboarding,Low,Open,2024-06-21,,,,War store move.
TKT00085,CUST0047,Feature Request,High,Closed,2024-12-20,2025-01-09,20.0,1.0,Skill and although class apply.
TKT00086,CUST0106,Performance,Low,Closed,2024-07-05,2024-07-13,8.0,4.0,Right simply myself glass.
TKT00087,CUST0060,Onboarding,Critical,In Progress,2024-09-30,,,,Guess professor expert face conference.
TKT00088,CUST0050,Onboarding,High,Closed,2024-07-07,2024-07-26,19.0,4.0,Choice lead nature they.
TKT00089,CUST0129,Feature Request,High,Closed,2024-09-27,2024-10-11,14.0,2.0,Eye majority above check town.
TKT00090,CUST0065,Performance,Critical,Closed,2024-01-27,2024-02-12,16.0,5.0,Benefit market whether article agreement accept listen.
TKT00091,CUST0032,Billing,Medium,Closed,2024-05-25,2024-05-28,3.0,5.0,I final factor senior.
TKT00092,CUST0038,Feature Request,High,Closed,2024-08-11,2024-08-14,3.0,3.0,Office improve cultural agreement agency appear structure.
TKT00093,CUST0007,Billing,Low,Resolved,2024-07-31,2024-08-02,2.0,1.0,Raise simple oil.
TKT00094,CUST0096,Bug,High,In Progress,2024-04-24,,,,Husband face man as somebody.
TKT00095,CUST0167,Billing,Critical,Open,2024-06-20,,,,Sort music attention skill sound kitchen.
TKT00096,CUST0121,Onboarding,Medium,Closed,2024-12-22,2024-12-27,5.0,1.0,Common great character.
TKT00097,CUST0021,Feature Request,Medium,In Progress,2024-01-10,,,,Write charge decision control.
TKT00098,CUST0187,Billing,Low,Resolved,2024-11-07,2024-11-24,17.0,1.0,Article coach officer.
TKT00099,CUST0013,Performance,Medium,Resolved,2024-05-02,2024-05-16,14.0,1.0,Easy recently face station wear wish century.
TKT00100,CUST0128,Performance,Medium,Open,2024-11-01,,,,Which coach plan.
TKT00101,CUST0184,Performance,Medium,Resolved,2024-03-14,2024-03-24,10.0,5.0,Improve interest seem wall fill like.
TKT00102,CUST0107,Billing,Low,Resolved,2024-04-05,2024-04-08,3.0,5.0,Table explain appear goal upon.
TKT00103,CUST0140,Onboarding,High,Resolved,2024-09-16,2024-10-03,17.0,1.0,Half address address.
TKT00104,CUST0163,Bug,Medium,In Progress,2024-07-17,,,,Stand fear conference own owner.
TKT00105,CUST0018,Integration,Low,Resolved,2024-06-25,2024-07-03,8.0,5.0,Center real fact language throw travel.
TKT00106,CUST0189,Performance,Medium,Open,2024-06-19,,,,Maybe upon economy every just those.
TKT00107,CUST0165,Onboarding,Medium,Closed,2024-03-30,2024-04-14,15.0,2.0,Summer agency large reach it half discover.
TKT00108,CUST0017,Bug,High,In Progress,2024-08-22,,,,Issue task then away.
TKT00109,CUST0011,Performance,Medium,Resolved,2024-06-10,2024-06-20,10.0,1.0,Act give clearly per financial style evidence.
TKT00110,CUST0193,Bug,High,In Progress,2024-11-27,,,,Whole better five simple skill training everything.
TKT00111,CUST0085,Onboarding,High,Closed,2024-05-19,2024-05-23,4.0,4.0,Commercial anyone hard produce yet.
TKT00112,CUST0099,Onboarding,Medium,Resolved,2024-06-22,2024-06-28,6.0,5.0,Indicate teacher become seem.
TKT00113,CUST0069,Performance,Critical,Open,2024-02-12,,,,To return step building throughout story medical.
TKT00114,CUST0047,Bug,Medium,In Progress,2024-10-06,,,,Democrat today attention service save special.
TKT00115,CUST0076,Onboarding,Low,Resolved,2024-06-05,2024-06-20,15.0,4.0,Situation main since way ok loss arm.
TKT00116,CUST0090,Billing,Medium,Resolved,2024-08-16,2024-08-18,2.0,4.0,Artist save among.
TKT00117,CUST0071,Integration,Medium,Open,2024-11-23,,,,Why personal door brother much challenge.
TKT00118,CUST0132,Feature Request,High,Closed,2024-12-13,2024-12-19,6.0,4.0,Station under value ask.
TKT00119,CUST0009,Integration,Medium,In Progress,2024-03-05,,,,Beat attack physical behavior design woman.
TKT00120,CUST0099,Integration,Medium,Resolved,2024-10-17,2024-10-19,2.0,3.0,Alone we plant drop card story continue.
TKT00121,CUST0096,Performance,Medium,Resolved,2024-08-15,2024-08-18,3.0,3.0,Mean law firm generation sell allow gun.
TKT00122,CUST0167,Bug,High,Closed,2024-05-22,2024-05-30,8.0,4.0,Usually close past art discover.
TKT00123,CUST0133,Billing,High,Open,2024-07-17,,,,Large reflect thing paper degree.
TKT00124,CUST0055,Onboarding,Low,Resolved,2024-11-09,2024-11-19,10.0,2.0,Society easy large option hear role.
TKT00125,CUST0019,Onboarding,Critical,Closed,2024-08-19,2024-08-25,6.0,3.0,Fall stock paper address clear yes.
TKT00126,CUST0171,Billing,High,Resolved,2024-06-26,2024-06-29,3.0,2.0,Could police resource instead woman staff approach.
TKT00127,CUST0183,Performance,Low,Closed,2024-12-29,2025-01-04,6.0,2.0,Hour democratic simple.
TKT00128,CUST0036,Performance,Medium,Open,2024-05-01,,,,Nice suddenly light push.
TKT00129,CUST0120,Bug,Low,Resolved,2024-10-09,2024-10-14,5.0,4.0,Partner someone assume total fly on.
TKT00130,CUST0184,Onboarding,High,Resolved,2024-09-02,2024-09-19,17.0,1.0,Cultural western individual drug military young city involve.
TKT00131,CUST0033,Integration,Medium,Resolved,2024-06-11,2024-06-14,3.0,2.0,Fire five sound character could lose.
TKT00132,CUST0200,Feature Request,Medium,In Progress,2024-10-09,,,,Eat understand build method.
TKT00133,CUST0015,Feature Request,Low,In Progress,2024-03-04,,,,Head report into there Congress site scientist.
TKT00134,CUST0182,Performance,High,Closed,2024-04-25,2024-05-07,12.0,1.0,Cell pressure person end stuff senior box too.
TKT00135,CUST0065,Integration,Medium,In Progress,2024-04-10,,,,Especially say your project.
TKT00136,CUST0137,Performance,Critical,Resolved,2024-02-17,2024-03-05,17.0,2.0,Become thought thank under seat from network race.
TKT00137,CUST0044,Performance,Medium,Resolved,2024-12-03,2024-12-23,20.0,5.0,Collection collection perform raise.
TKT00138,CUST0011,Integration,High,Open,2024-01-15,,,,Drug student side especially ability land.
TKT00139,CUST0068,Onboarding,Medium,Closed,2024-11-29,2024-12-06,7.0,1.0,Nearly nation player without across themselves.
TKT00140,CUST0128,Billing,Medium,In Progress,2024-11-17,,,,Senior the cold.
TKT00141,CUST0176,Integration,Low,Resolved,2024-07-26,2024-08-05,10.0,4.0,Traditional method move artist central.
TKT00142,CUST0107,Performance,Low,In Progress,2024-09-04,,,,Food support part nation appear.
TKT00143,CUST0184,Feature Request,High,Closed,2024-06-12,2024-06-24,12.0,5.0,Beautiful item truth herself learn describe.
TKT00144,CUST0144,Bug,Low,In Progress,2024-02-24,,,,Across himself high last rather tend.
TKT00145,CUST0064,Onboarding,High,Open,2024-03-13,,,,Finish gas guess as section stop trouble tell.
TKT00146,CUST0108,Performance,High,Closed,2024-05-07,2024-05-13,6.0,2.0,Police right reflect.
TKT00147,CUST0196,Onboarding,Medium,Closed,2024-03-22,2024-04-07,16.0,3.0,Skill machine item south cut.
TKT00148,CUST0128,Performance,Medium,Closed,2024-01-12,2024-01-15,3.0,2.0,Her sometimes identify age defense which teach.
TKT00149,CUST0056,Billing,Medium,Open,2024-10-25,,,,System born apply glass training red upon.
TKT00150,CUST0168,Bug,High,In Progress,2024-12-10,,,,Prevent police throw late family will buy.
TKT00151,CUST0111,Onboarding,Medium,Resolved,2024-03-09,2024-03-18,9.0,4.0,Leg environment organization.
TKT00152,CUST0014,Performance,Low,In Progress,2024-10-18,,,,Mission prevent important strong.
TKT00153,CUST0099,Billing,High,Closed,2024-09-15,2024-09-30,15.0,5.0,Leave across stand important western.
TKT00154,CUST0175,Bug,Medium,Open,2024-11-08,,,,Measure ground argue later.
TKT00155,CUST0087,Feature Request,Medium,Closed,2024-10-12,2024-10-24,12.0,4.0,Under up of.
TKT00156,CUST0129,Integration,Medium,Open,2024-01-21,,,,Investment knowledge off others hard up.
TKT00157,CUST0122,Performance,Low,Open,2024-09-22,,,,Strategy seem environmental affect cup star.
TKT00158,CUST0157,Performance,High,Resolved,2024-06-12,2024-06-18,6.0,3.0,Official section others.
TKT00159,CUST0152,Performance,Medium,Closed,2024-06-21,2024-07-08,17.0,5.0,Who yet food rather themselves.
TKT00160,CUST0077,Integration,Low,Resolved,2024-08-31,2024-09-01,1.0,4.0,Another choose high effort into ok federal sign.
TKT00161,CUST0150,Billing,Critical,Resolved,2024-06-06,2024-06-07,1.0,5.0,Wish though model son lose hospital.
TKT00162,CUST0148,Feature Request,Medium,Resolved,2024-04-26,2024-04-28,2.0,5.0,Evidence between probably best gas follow reflect.
TKT00163,CUST0199,Feature Request,Low,Closed,2024-07-13,2024-07-18,5.0,1.0,Affect direction project deal poor.
TKT00164,CUST0049,Feature Request,Medium,In Progress,2024-01-10,,,,Yourself local floor factor adult.
TKT00165,CUST0053,Onboarding,High,Closed,2024-07-29,2024-08-15,17.0,1.0,Garden us perhaps still after organization.
TKT00166,CUST0181,Billing,Critical,In Progress,2024-03-11,,,,Ten picture home decision must.
TKT00167,CUST0123,Feature Request,Medium,In Progress,2024-09-26,,,,Land change during choice.
TKT00168,CUST0137,Integration,Medium,Resolved,2024-06-24,2024-07-12,18.0,3.0,But property ground within PM.
TKT00169,CUST0157,Billing,Medium,Closed,2024-09-04,2024-09-11,7.0,2.0,Within soon may her for.
TKT00170,CUST0077,Onboarding,Medium,Resolved,2024-05-27,2024-06-03,7.0,3.0,Front last himself sell need red.
TKT00171,CUST0144,Integration,Medium,Open,2024-05-20,,,,Throw theory model woman so drug.
TKT00172,CUST0102,Billing,Critical,In Progress,2024-06-25,,,,Action cover scientist ability.
TKT00173,CUST0021,Integration,Medium,Resolved,2024-06-26,2024-07-11,15.0,2.0,Very five manager.
TKT00174,CUST0138,Feature Request,Low,Resolved,2024-05-18,2024-06-05,18.0,5.0,Series suggest second car ago pick interesting.
TKT00175,CUST0062,Performance,Low,Resolved,2024-05-04,2024-05-06,2.0,2.0,Make something guess view.
TKT00176,CUST0014,Onboarding,Low,In Progress,2024-02-21,,,,Not return subject.
TKT00177,CUST0198,Feature Request,Medium,Closed,2024-03-11,2024-03-12,1.0,4.0,Professional past door ten month.
TKT00178,CUST0123,Billing,Medium,Closed,2024-11-29,2024-12-06,7.0,1.0,Current run site develop key together practice.
TKT00179,CUST0197,Integration,High,In Progress,2024-02-15,,,,While student trade both allow head.
TKT00180,CUST0010,Feature Request,Critical,Closed,2024-03-30,2024-04-13,14.0,1.0,Shake play though which experience.
TKT00181,CUST0102,Billing,High,Closed,2024-09-10,2024-09-16,6.0,1.0,Move they well free red matter team teach.
TKT00182,CUST0077,Billing,Low,Open,2024-10-17,,,,Dark back yes difference read answer.
TKT00183,CUST0165,Feature Request,High,Resolved,2024-10-05,2024-10-22,17.0,4.0,Offer son heavy stand white.
TKT00184,CUST0070,Integration,Medium,In Progress,2024-04-08,,,,Out money fund.
TKT00185,CUST0066,Billing,Medium,Resolved,2024-04-05,2024-04-06,1.0,2.0,May newspaper source.
TKT00186,CUST0045,Performance,Medium,Closed,2024-11-08,2024-11-21,13.0,4.0,Poor assume cause begin.
TKT00187,CUST0172,Onboarding,Medium,Closed,2024-02-18,2024-02-24,6.0,2.0,Discuss anyone forget social off TV.
TKT00188,CUST0002,Billing,Critical,In Progress,2024-05-13,,,,Each town someone art.
TKT00189,CUST0078,Integration,Medium,Open,2024-10-25,,,,Partner building around store.
TKT00190,CUST0061,Feature Request,Medium,Resolved,2024-02-01,2024-02-05,4.0,5.0,Buy near key mother.
TKT00191,CUST0181,Billing,Medium,Resolved,2024-06-08,2024-06-12,4.0,2.0,Build ago relationship family fall.
TKT00192,CUST0057,Integration,Critical,In Progress,2024-03-09,,,,Than course new guy describe computer several.
TKT00193,CUST0096,Performance,High,Closed,2024-07-31,2024-08-18,18.0,2.0,Family husband season agree ok none social.
TKT00194,CUST0196,Bug,Medium,Closed,2024-05-06,2024-05-26,20.0,5.0,Continue for box upon.
TKT00195,CUST0181,Bug,Low,Closed,2024-07-04,2024-07-07,3.0,5.0,Finally late firm measure try night local.
TKT00196,CUST0130,Feature Request,Medium,Resolved,2024-04-13,2024-05-02,19.0,5.0,Treat there although vote key reflect.
TKT00197,CUST0114,Onboarding,Low,Resolved,2024-02-29,2024-03-07,7.0,5.0,Indicate itself become type early.
TKT00198,CUST0115,Onboarding,Medium,Open,2024-01-29,,,,Feel forget various.
TKT00199,CUST0015,Billing,High,Resolved,2024-10-13,2024-10-28,15.0,4.0,Yes suddenly much office forward.
TKT00200,CUST0066,Bug,Medium,Resolved,2024-01-02,2024-01-09,7.0,1.0,Sister staff girl remain drop.
TKT00201,CUST0139,Onboarding,Low,Closed,2024-01-31,2024-02-03,3.0,4.0,Sell while plant wait reduce focus.
TKT00202,CUST0047,Onboarding,Medium,Resolved,2024-03-10,2024-03-24,14.0,4.0,Suddenly its brother.
TKT00203,CUST0097,Billing,Low,Open,2024-02-11,,,,Station like notice provide especially cut man plant.
TKT00204,CUST0138,Feature Request,High,Open,2024-07-20,,,,Turn language new need girl later treat.
TKT00205,CUST0194,Integration,Medium,Resolved,2024-01-12,2024-01-22,10.0,5.0,Shoulder wait when school stay side build.
TKT00206,CUST0098,Feature Request,Low,Resolved,2024-04-27,2024-05-05,8.0,1.0,Want act account traditional move career dog.
TKT00207,CUST0009,Bug,Low,Resolved,2024-12-04,2024-12-18,14.0,1.0,Under community create sometimes eye.
TKT00208,CUST0026,Integration,High,Resolved,2024-10-31,2024-11-02,2.0,1.0,Support world design star.
TKT00209,CUST0063,Performance,Low,Resolved,2024-01-23,2024-02-05,13.0,1.0,Exist feeling those total involve improve.
TKT00210,CUST0036,Integration,Medium,In Progress,2024-09-14,,,,Outside team exist choice lead.
TKT00211,CUST0148,Feature Request,Critical,In Progress,2024-11-02,,,,Over television make exist song.
TKT00212,CUST0134,Bug,Medium,In Progress,2024-04-23,,,,Cup lot campaign trouble high team.
TKT00213,CUST0152,Bug,Critical,Resolved,2024-03-30,2024-04-13,14.0,4.0,Store wait if mind lot forget.
TKT00214,CUST0135,Billing,Medium,Resolved,2024-06-12,2024-06-26,14.0,5.0,Sister sense my our.
TKT00215,CUST0122,Integration,Low,In Progress,2024-05-03,,,,Heart citizen early more environmental second develop.
TKT00216,CUST0119,Onboarding,Medium,Resolved,2024-01-30,2024-02-17,18.0,2.0,Five century support final never officer.
TKT00217,CUST0100,Integration,Low,In Progress,2024-05-04,,,,Trial me buy charge yeah decade.
TKT00218,CUST0116,Feature Request,Low,Resolved,2024-07-08,2024-07-11,3.0,4.0,Owner million then walk.
TKT00219,CUST0173,Bug,Low,Open,2024-11-05,,,,Decide ball woman treat.
TKT00220,CUST0195,Feature Request,High,In Progress,2024-10-27,,,,Set behavior authority three manager pretty.
TKT00221,CUST0086,Feature Request,Critical,In Progress,2024-06-04,,,,Environmental process control find time.
TKT00222,CUST0031,Integration,Low,Resolved,2024-09-02,2024-09-10,8.0,2.0,Station example develop much.
TKT00223,CUST0142,Performance,Medium,Resolved,2024-06-13,2024-06-23,10.0,3.0,Father mission save.
TKT00224,CUST0067,Onboarding,Low,Closed,2024-07-03,2024-07-20,17.0,4.0,Finish stay cell face answer.
TKT00225,CUST0195,Onboarding,Low,Resolved,2024-06-12,2024-06-19,7.0,2.0,Next method environment finish.
TKT00226,CUST0190,Performance,Medium,In Progress,2024-03-15,,,,It early bring grow.
TKT00227,CUST0107,Feature Request,Medium,In Progress,2024-05-31,,,,Believe above attack really.
TKT00228,CUST0063,Integration,Medium,Resolved,2024-09-12,2024-09-30,18.0,4.0,Door organization land group.
TKT00229,CUST0186,Integration,High,Resolved,2024-11-24,2024-12-10,16.0,2.0,Group expect watch who.
TKT00230,CUST0036,Performance,Critical,In Progress,2024-10-06,,,,Environmental fly writer music matter.
TKT00231,CUST0016,Bug,Critical,Closed,2024-09-25,2024-09-27,2.0,1.0,Card base spend deep.
TKT00232,CUST0196,Integration,Low,Open,2024-01-04,,,,Various line like save themselves how evening.
TKT00233,CUST0182,Onboarding,Medium,In Progress,2024-03-18,,,,Eat political energy maintain positive admit first too.
TKT00234,CUST0159,Integration,Medium,Closed,2024-11-22,2024-12-12,20.0,1.0,Citizen management child must seat Congress woman why.
TKT00235,CUST0137,Performance,High,Open,2024-10-09,,,,Raise whole turn skill free claim whether.
TKT00236,CUST0138,Integration,Medium,Resolved,2024-05-26,2024-05-27,1.0,2.0,Year the mouth catch stand window wife.
TKT00237,CUST0028,Feature Request,Medium,Open,2024-02-19,,,,Politics lawyer federal watch.
TKT00238,CUST0065,Bug,Medium,Closed,2024-06-30,2024-07-09,9.0,4.0,Know write respond over by industry wide.
TKT00239,CUST0118,Feature Request,Low,Closed,2024-10-16,2024-10-24,8.0,1.0,Open good hear place water painting performance.
TKT00240,CUST0168,Onboarding,Medium,Open,2024-11-28,,,,Network culture somebody local glass security year.
TKT00241,CUST0122,Bug,Medium,Resolved,2024-01-29,2024-01-30,1.0,4.0,Throughout big often song quickly others.
TKT00242,CUST0166,Bug,High,Closed,2024-06-18,2024-07-07,19.0,1.0,Book national wife support year.
TKT00243,CUST0059,Bug,Critical,Resolved,2024-04-18,2024-05-07,19.0,3.0,Surface truth break run others first individual.
TKT00244,CUST0140,Billing,Low,In Progress,2024-10-15,,,,Grow detail share young economy off.
TKT00245,CUST0054,Integration,High,Closed,2024-10-27,2024-11-01,5.0,1.0,Tough yet glass marriage water.
TKT00246,CUST0077,Onboarding,Medium,In Progress,2024-03-24,,,,Sense wind through full.
TKT00247,CUST0139,Feature Request,High,Closed,2024-06-18,2024-07-01,13.0,1.0,Each walk spring marriage really easy season.
TKT00248,CUST0129,Feature Request,High,Open,2024-06-26,,,,Low listen debate account sure look very.
TKT00249,CUST0088,Onboarding,Critical,Closed,2024-11-05,2024-11-25,20.0,3.0,Yeah poor law grow difference manager.
TKT00250,CUST0008,Onboarding,Medium,Closed,2024-11-20,2024-11-29,9.0,3.0,Sometimes require learn skill college public.
TKT00251,CUST0142,Performance,Medium,In Progress,2024-07-11,,,,Thing game career dinner happy.
TKT00252,CUST0022,Integration,Low,Closed,2024-11-12,2024-11-22,10.0,3.0,More remain thought.
TKT00253,CUST0040,Billing,Medium,Resolved,2024-07-13,2024-07-18,5.0,1.0,Perhaps maintain among school north.
TKT00254,CUST0002,Billing,Low,Resolved,2024-06-06,2024-06-21,15.0,1.0,Finally story term child production option public.
TKT00255,CUST0048,Performance,Medium,Resolved,2024-08-08,2024-08-23,15.0,1.0,Take story special grow day understand recently.
TKT00256,CUST0023,Performance,High,Open,2024-06-30,,,,Wind result finish use fund support fine cup.
TKT00257,CUST0099,Bug,High,Resolved,2024-01-07,2024-01-17,10.0,5.0,Born here really win.
TKT00258,CUST0063,Onboarding,Low,In Progress,2024-10-19,,,,Pm finally improve hotel position.
