event_id,customer_id,event_type,event_date,session_duration_secs,platform
EVT000179,CUST0043,Export_Downloaded,2024-04-05,2467,Web
EVT000180,CUST0193,Integration_Connected,2024-12-27,3543,Web
EVT000181,CUST0009,Integration_Connected,2024-07-30,385,Web
EVT000182,CUST0061,Dashboard_Viewed,2024-08-19,3427,API
EVT000183,CUST0056,Integration_Connected,2024-03-30,489,Web
EVT000184,CUST0010,Report_Generated,2024-02-17,1847,Web
EVT000185,CUST0124,Feature_B_Used,2024-04-07,1423,API
EVT000186,CUST0188,Integration_Connected,2024-06-16,616,Mobile
EVT000187,CUST0026,Feature_B_Used,2024-04-15,2997,Web
EVT000188,CUST0100,Feature_A_Used,2024-01-03,1303,API
EVT000189,CUST0176,Feature_A_Used,2024-06-19,1942,API
EVT000190,CUST0027,Integration_Connected,2024-01-12,2395,Mobile
EVT000191,CUST0164,Report_Generated,2024-06-13,851,Web
EVT000192,CUST0071,Dashboard_Viewed,2024-08-13,2778,Web
EVT000193,CUST0039,Feature_B_Used,2024-05-20,498,Web
EVT000194,CUST0160,Feature_A_Used,2024-04-15,2252,Web
EVT000195,CUST0082,Integration_Connected,2024-03-13,2915,Mobile
EVT000196,CUST0147,Report_Generated,2024-03-28,321,Web
EVT000197,CUST0087,Invite_Sent,2024-01-26,562,Web
EVT000198,CUST0173,Login,2024-02-24,1601,Web
EVT000199,CUST0110,Export_Downloaded,2024-04-01,2916,Web
EVT000200,CUST0152,Invite_Sent,2024-11-11,1486,Web
EVT000201,CUST0051,Feature_A_Used,2024-08-26,2355,Web
EVT000202,CUST0179,Invite_Sent,2024-02-19,1896,Web
EVT000203,CUST0165,Invite_Sent,2024-08-28,979,API
EVT000204,CUST0037,Integration_Connected,2024-07-05,1635,Web
EVT000205,CUST0171,Dashboard_Viewed,2024-06-15,1886,Web
EVT000206,CUST0017,Invite_Sent,2024-02-27,1469,Web
EVT000207,CUST0044,Integration_Connected,2024-06-27,2505,Web
EVT000208,CUST0131,Feature_A_Used,2024-07-26,3378,Mobile
EVT000209,CUST0028,Dashboard_Viewed,2024-10-11,2690,Web
EVT000210,CUST0078,Invite_Sent,2024-07-24,2448,Web
EVT000211,CUST0159,Report_Generated,2024-10-07,681,API
EVT000212,CUST0099,Feature_A_Used,2024-06-23,882,Mobile
EVT000213,CUST0152,Export_Downloaded,2024-08-10,2353,Mobile
EVT000214,CUST0140,Report_Generated,2024-03-29,2744,Mobile
EVT000215,CUST0190,Invite_Sent,2024-02-28,2455,Web
EVT000216,CUST0084,Feature_A_Used,2024-08-15,751,Web
EVT000217,CUST0104,Feature_A_Used,2024-11-02,475,Mobile
EVT000218,CUST0153,Export_Downloaded,2024-06-16,2054,Mobile
EVT000219,CUST0016,Feature_A_Used,2024-04-21,3376,Web
EVT000220,CUST0149,Login,2024-03-16,2736,Web
EVT000221,CUST0137,Integration_Connected,2024-07-18,2551,Web
EVT000222,CUST0051,Report_Generated,2024-12-14,1326,Web
EVT000223,CUST0174,Integration_Connected,2024-08-10,2970,API
EVT000224,CUST0089,Feature_A_Used,2024-10-25,63,Mobile
EVT000225,CUST0131,Export_Downloaded,2024-03-06,3521,Web
EVT000226,CUST0095,Login,2024-01-01,2910,Web
EVT000227,CUST0092,Feature_A_Used,2024-05-24,3575,Web
EVT000228,CUST0111,Export_Downloaded,2024-11-16,1333,Mobile
EVT000229,CUST0104,Export_Downloaded,2024-08-10,2262,Web
EVT000230,CUST0045,Invite_Sent,2024-03-12,800,Web
EVT000231,CUST0093,Export_Downloaded,2024-03-19,1211,API
EVT000232,CUST0172,Feature_B_Used,2024-03-09,77,Web
EVT000233,CUST0005,Feature_B_Used,2024-09-06,2724,Web
EVT000234,CUST0035,Feature_A_Used,2024-03-11,2660,Mobile
EVT000235,CUST0117,Export_Downloaded,2024-11-15,766,Web
EVT000236,CUST0109,Invite_Sent,2024-07-15,1485,Web
EVT000237,CUST0109,Login,2024-10-22,2070,Mobile
EVT000238,CUST0061,Integration_Connected,2024-07-29,2267,Web
EVT000239,CUST0009,Login,2024-10-17,2009,Mobile
EVT000240,CUST0029,Invite_Sent,2024-12-19,357,Web
EVT000241,CUST0188,Integration_Connected,2024-08-26,2147,Web
EVT000242,CUST0157,Feature_A_Used,2024-05-05,1965,Mobile
EVT000243,CUST0170,Feature_A_Used,2024-12-16,2625,Web
EVT000244,CUST0149,Integration_Connected,2024-11-09,246,API
EVT000245,CUST0137,Login,2024-08-28,1889,Web
EVT000246,CUST0121,Dashboard_Viewed,2024-08-03,1475,API
EVT000247,CUST0076,Integration_Connected,2024-03-26,174,Mobile
EVT000248,CUST0153,Integration_Connected,2024-10-15,1096,Web
EVT000249,CUST0122,Feature_B_Used,2024-10-20,241,Mobile
EVT000250,CUST0075,Login,2024-05-26,2015,Web
EVT000251,CUST0130,Feature_A_Used,2024-05-22,1062,Web
EVT000252,CUST0072,Integration_Connected,2024-05-11,88,Mobile
EVT000253,CUST0155,Feature_B_Used,2024-10-29,3056,Web
EVT000254,CUST0115,Dashboard_Viewed,2024-03-30,1100,Mobile
EVT000255,CUST0061,Invite_Sent,2024-04-02,3304,Web
EVT000256,CUST0009,Dashboard_Viewed,2024-02-13,624,Web
EVT000257,CUST0040,Invite_Sent,2024-07-30,3185,Web
EVT000258,CUST0170,Invite_Sent,2024-11-22,715,Web
EVT000259,CUST0188,Dashboard_Viewed,2024-01-28,2660,Web
EVT000260,CUST0030,Login,2024-03-26,1930,Web
EVT000261,CUST0078,Invite_Sent,2024-09-29,987,Web
EVT000262,CUST0181,Export_Downloaded,2024-08-30,1105,Web
EVT000263,CUST0112,Login,2024-05-27,3295,Web
EVT000264,CUST0174,Dashboard_Viewed,2024-09-28,2827,API
EVT000265,CUST0025,Dashboard_Viewed,2024-08-09,2530,API
EVT000266,CUST0070,Dashboard_Viewed,2024-05-18,1123,Mobile
EVT000267,CUST0066,Export_Downloaded,2024-08-24,3196,Mobile
EVT000268,CUST0062,Report_Generated,2024-09-23,1412,Mobile
EVT000269,CUST0047,Dashboard_Viewed,2024-10-07,73,Mobile
EVT000270,CUST0018,Login,2024-07-29,430,Web
EVT000271,CUST0176,Invite_Sent,2024-06-28,928,Mobile
EVT000272,CUST0065,Report_Generated,2024-01-18,127,Mobile
EVT000273,CUST0015,Report_Generated,2024-11-02,2643,Web
EVT000274,CUST0031,Feature_A_Used,2024-11-05,562,Web
EVT000275,CUST0196,Feature_B_Used,2024-02-26,2879,Web
EVT000276,CUST0076,Invite_Sent,2024-12-04,340,Mobile
EVT000277,CUST0071,Export_Downloaded,2024-12-20,2764,Mobile
EVT000278,CUST0083,Integration_Connected,2024-03-23,3227,Web
EVT000279,CUST0199,Login,2024-07-14,1621,Web
EVT000280,CUST0016,Integration_Connected,2024-05-15,758,Web
EVT000281,CUST0126,Report_Generated,2024-11-08,1638,Web
EVT000282,CUST0126,Feature_A_Used,2024-03-14,2244,Mobile
EVT000283,CUST0056,Feature_A_Used,2024-08-14,2960,Web
EVT000284,CUST0009,Feature_A_Used,2024-02-06,2370,Mobile
EVT000285,CUST0199,Invite_Sent,2024-01-10,2068,Web
EVT000286,CUST0164,Login,2024-01-20,2752,Web
EVT000287,CUST0039,Dashboard_Viewed,2024-07-19,2383,Web
EVT000288,CUST0182,Invite_Sent,2024-09-01,1816,Web
EVT000289,CUST0187,Feature_A_Used,2024-10-03,955,Web
EVT000290,CUST0177,Invite_Sent,2024-03-03,2353,Web
EVT000291,CUST0092,Dashboard_Viewed,2024-12-15,1270,Web
EVT000292,CUST0162,Feature_A_Used,2024-07-06,2219,API
EVT000293,CUST0088,Feature_A_Used,2024-08-23,3144,Mobile
EVT000294,CUST0166,Report_Generated,2024-03-31,2301,Web
EVT000295,CUST0099,Report_Generated,2024-06-02,2880,Web
EVT000296,CUST0028,Dashboard_Viewed,2024-09-06,377,API
EVT000297,CUST0113,Report_Generated,2024-03-12,176,Web
EVT000298,CUST0185,Report_Generated,2024-09-07,1622,Web
EVT000299,CUST0139,Integration_Connected,2024-09-12,2217,API
EVT000300,CUST0116,Login,2024-01-19,1419,Web
EVT000301,CUST0185,Login,2024-07-26,514,Web
EVT000302,CUST0168,Invite_Sent,2024-12-13,3594,API
EVT000303,CUST0039,Report_Generated,2024-02-06,181,Mobile
EVT000304,CUST0126,Login,2024-08-29,2562,Web
EVT000305,CUST0180,Feature_B_Used,2024-01-08,735,Mobile
EVT000306,CUST0079,Feature_A_Used,2024-08-21,2533,Web
EVT000307,CUST0152,Feature_A_Used,2024-02-24,497,Web
EVT000308,CUST0158,Report_Generated,2024-02-02,3325,Web
EVT000309,CUST0087,Export_Downloaded,2024-06-15,524,API
EVT000310,CUST0148,Feature_B_Used,2024-06-13,3456,API
EVT000311,CUST0055,Login,2024-10-30,740,Web
EVT000312,CUST0031,Integration_Connected,2024-03-13,3132,Web
EVT000313,CUST0179,Dashboard_Viewed,2024-10-10,705,Web
EVT000314,CUST0149,Login,2024-03-09,439,Mobile
EVT000315,CUST0162,Export_Downloaded,2024-03-21,94,API
EVT000316,CUST0021,Login,2024-01-04,764,API
EVT000317,CUST0181,Integration_Connected,2024-08-01,2870,Mobile
EVT000318,CUST0198,Invite_Sent,2024-12-20,549,Web
EVT000319,CUST0164,Integration_Connected,2024-09-24,1874,Web
EVT000320,CUST0045,Login,2024-11-01,767,Mobile
EVT000321,CUST0157,Feature_A_Used,2024-11-17,3415,Mobile
EVT000322,CUST0090,Export_Downloaded,2024-01-03,2314,Web
EVT000323,CUST0031,Feature_A_Used,2024-11-12,1512,API
EVT000324,CUST0139,Report_Generated,2024-08-25,3185,Mobile
EVT000325,CUST0054,Integration_Connected,2024-01-28,823,Web
EVT000326,CUST0039,Invite_Sent,2024-09-11,752,Web
EVT000327,CUST0012,Login,2024-11-26,1521,Web
EVT000328,CUST0112,Integration_Connected,2024-06-20,2556,Mobile
EVT000329,CUST0195,Invite_Sent,2024-01-23,457,Mobile
EVT000330,CUST0138,Feature_B_Used,2024-03-21,3247,Web
EVT000331,CUST0132,Feature_A_Used,2024-02-06,993,Mobile
EVT000332,CUST0152,Dashboard_Viewed,2024-08-02,844,Mobile
EVT000333,CUST0084,Report_Generated,2024-02-26,1365,Web
EVT000334,CUST0061,Export_Downloaded,2024-04-12,1568,API
EVT000335,CUST0019,Invite_Sent,2024-10-26,2014,Web
EVT000336,CUST0112,Feature_B_Used,2024-04-20,2526,Web
EVT000337,CUST0100,Dashboard_Viewed,2024-03-10,1904,Mobile
EVT000338,CUST0162,Dashboard_Viewed,2024-05-18,858,Web
EVT000339,CUST0009,Login,2024-05-23,589,Web
EVT000340,CUST0120,Invite_Sent,2024-08-02,731,Mobile
EVT000341,CUST0057,Integration_Connected,2024-11-05,672,Mobile
EVT000342,CUST0164,Feature_B_Used,2024-10-22,2294,API
EVT000343,CUST0023,Export_Downloaded,2024-09-24,2033,API
EVT000344,CUST0056,Invite_Sent,2024-08-24,1173,Web
EVT000345,CUST0110,Report_Generated,2024-05-06,1370,Web
EVT000346,CUST0057,Feature_B_Used,2024-10-20,50,Web
EVT000347,CUST0012,Login,2024-08-28,3034,Mobile
EVT000348,CUST0009,Export_Downloaded,2024-09-28,1645,Web
EVT000349,CUST0179,Feature_A_Used,2024-08-19,2058,Web
EVT000350,CUST0143,Login,2024-12-20,3027,Web
EVT000351,CUST0056,Feature_B_Used,2024-07-02,1241,Web
EVT000352,CUST0024,Login,2024-09-02,2770,Web
EVT000353,CUST0181,Invite_Sent,2024-10-19,3090,Web
EVT000354,CUST0117,Invite_Sent,2024-03-11,2910,Web
EVT000355,CUST0095,Invite_Sent,2024-12-26,2624,Web
EVT000356,CUST0161,Feature_A_Used,2024-07-16,2859,Web
EVT000357,CUST0009,Integration_Connected,2024-08-06,3113,Web
EVT000358,CUST0157,Report_Generated,2024-12-16,361,Mobile
EVT000359,CUST0086,Login,2024-09-20,2793,Web
EVT000360,CUST0014,Feature_A_Used,2024-07-15,1527,Web
EVT000361,CUST0011,Dashboard_Viewed,2024-07-06,747,Mobile
EVT000362,CUST0181,Feature_A_Used,2024-10-14,2935,Mobile
EVT000363,CUST0036,Dashboard_Viewed,2024-05-02,2240,Web
EVT000364,CUST0123,Report_Generated,2024-04-25,1342,Web
EVT000365,CUST0069,Export_Downloaded,2024-05-21,253,Web
EVT000366,CUST0089,Invite_Sent,2024-09-05,2083,Web
EVT000367,CUST0032,Invite_Sent,2024-12-29,2208,Mobile
EVT000368,CUST0137,Integration_Connected,2024-08-19,2573,Web
EVT000369,CUST0173,Feature_A_Used,2024-04-06,1905,Web
EVT000370,CUST0101,Feature_B_Used,2024-05-27,345,Web
EVT000371,CUST0071,Feature_A_Used,2024-12-22,636,Web
EVT000372,CUST0053,Login,2024-05-30,1736,API
EVT000373,CUST0139,Feature_B_Used,2024-08-30,1450,Web
EVT000374,CUST0189,Login,2024-05-29,804,Web
EVT000375,CUST0060,Dashboard_Viewed,2024-07-29,2400,Web
EVT000376,CUST0166,Dashboard_Viewed,2024-09-05,2460,Mobile
EVT000377,CUST0136,Invite_Sent,2024-08-22,1275,Web
EVT000378,CUST0079,Feature_B_Used,2024-05-13,958,Web
EVT000379,CUST0074,Login,2024-03-16,1476,Web
EVT000380,CUST0043,Feature_B_Used,2024-12-30,2222,Web
EVT000381,CUST0045,Feature_B_Used,2024-03-23,1004,Web
EVT000382,CUST0082,Feature_B_Used,2024-08-13,1096,Web
EVT000383,CUST0053,Login,2024-12-06,1328,API
EVT000384,CUST0038,Dashboard_Viewed,2024-08-17,2241,API
EVT000385,CUST0137,Integration_Connected,2024-03-03,132,Web
EVT000386,CUST0128,Feature_B_Used,2024-08-22,1341,Web
EVT000387,CUST0190,Dashboard_Viewed,2024-11-27,2919,Web
EVT000388,CUST0075,Feature_B_Used,2024-10-16,3014,API
EVT000389,CUST0114,Dashboard_Viewed,2024-12-18,490,Mobile
EVT000390,CUST0011,Feature_B_Used,2024-12-13,2286,Web
EVT000391,CUST0007,Export_Downloaded,2024-11-12,3474,Web
EVT000392,CUST0092,Feature_A_Used,2024-06-16,255,Mobile
EVT000393,CUST0050,Report_Generated,2024-05-22,831,Web
EVT000394,CUST0138,Invite_Sent,2024-12-12,2780,API
EVT000395,CUST0132,Export_Downloaded,2024-04-09,2038,Web
EVT000396,CUST0155,Login,2024-12-07,1508,Web
EVT000397,CUST0184,Export_Downloaded,2024-07-08,1611,Web
EVT000398,CUST0073,Dashboard_Viewed,2024-06-28,1291,API
EVT000399,CUST0144,Feature_A_Used,2024-04-20,3011,API
EVT000400,CUST0190,Export_Downloaded,2024-08-14,1212,Web
EVT000401,CUST0187,Export_Downloaded,2024-07-31,601,Mobile
EVT000402,CUST0154,Feature_A_Used,2024-03-14,881,Web
EVT000403,CUST0135,Dashboard_Viewed,2024-02-03,2449,Mobile
EVT000404,CUST0023,Login,2024-07-28,2646,API
EVT000405,CUST0107,Feature_B_Used,2024-10-11,1922,Mobile
EVT000406,CUST0194,Feature_B_Used,2024-04-12,791,Mobile
EVT000407,CUST0075,Invite_Sent,2024-01-22,3400,Mobile
EVT000408,CUST0150,Integration_Connected,2024-09-09,2320,Mobile
EVT000409,CUST0058,Login,2024-01-02,660,Web
EVT000410,CUST0164,Invite_Sent,2024-03-04,2708,Mobile
EVT000411,CUST0074,Export_Downloaded,2024-04-01,2044,API
EVT000412,CUST0166,Report_Generated,2024-01-15,518,Mobile
EVT000413,CUST0127,Feature_A_Used,2024-11-02,3083,Web
EVT000414,CUST0124,Export_Downloaded,2024-05-12,2602,Mobile
EVT000415,CUST0178,Feature_A_Used,2024-07-10,2129,Mobile
EVT000416,CUST0005,Integration_Connected,2024-03-24,2412,Web
EVT000417,CUST0082,Invite_Sent,2024-12-20,584,Web
EVT000418,CUST0014,Integration_Connected,2024-07-03,1748,Mobile
EVT000419,CUST0092,Login,2024-05-28,1224,Web
EVT000420,CUST0020,Report_Generated,2024-11-17,780,Mobile
EVT000421,CUST0154,Feature_B_Used,2024-10-05,1351,API
